timestamp,Tout_C,Tin_C,SolarGain_W,InternalGain_W,HeatingLoad_W,CoolingLoad_W,HVACLoad_W,BaseElectric_W,HVACElectric_W,TotalElectric_W,COP,EER,HeatingLoad_kW,CoolingLoad_kW,HVACLoad_kW,BaseElectric_kW,HVACElectric_kW,TotalElectric_kW
2025-12-05 16:00:00,6.400245,21.0,103.32,509.80000000000007,8828.263763710022,0.0,8828.263763710022,449.80000000000007,2509.471626288707,2959.271626288707,3.517977119656167,6.146719969030025,8.828263763710021,0.0,8.828263763710021,0.4498000000000001,2.5094716262887067,2.959271626288707
2025-12-05 17:00:00,5.0502453,21.0,0.0,2549.0,7765.402882770128,0.0,7765.402882770128,2249.0,2368.1954246553364,4617.195424655336,3.2790380396500822,6.453573801042806,7.765402882770128,0.0,7.765402882770128,2.249,2.3681954246553363,4.617195424655336
2025-12-05 18:00:00,3.8902454,21.0,0.0,2549.0,8515.552746364774,0.0,8515.552746364774,2249.0,2763.5309477658516,5012.530947765852,3.0814030699562407,6.730012186722914,8.515552746364774,0.0,8.515552746364774,2.249,2.7635309477658514,5.012530947765852
2025-12-05 19:00:00,2.8602452,21.0,0.0,2549.0,9181.634277520472,0.0,9181.634277520472,2249.0,3315.5594001351,5564.5594001351,2.7692564570389977,6.98568422296343,9.181634277520471,0.0,9.181634277520471,2.249,3.3155594001351,5.5645594001351
2025-12-05 20:00:00,1.9402454,21.0,0.0,2549.0,9776.580643013353,0.0,9776.580643013353,2249.0,3649.1047885601274,5898.104788560127,2.6791723476022784,7.222397735616593,9.776580643013352,0.0,9.776580643013352,2.249,3.6491047885601273,5.898104788560127
2025-12-05 21:00:00,1.6202455,21.0,0.0,2549.0,9983.51848959015,0.0,9983.51848959015,2249.0,3770.406210355538,6019.406210355538,2.6478628382719362,7.306614951654811,9.98351848959015,0.0,9.98351848959015,2.249,3.770406210355538,6.019406210355538
2025-12-05 22:00:00,1.8402454,21.0,0.0,2549.0,9841.24874027738,0.0,9841.24874027738,2249.0,3686.745882259426,5935.745882259425,2.6693591190088104,7.24861037654866,9.841248740277381,0.0,9.841248740277381,2.249,3.6867458822594257,5.935745882259425
2025-12-05 23:00:00,1.4102454,21.0,0.0,2549.0,10119.321558512707,0.0,10119.321558512707,2249.0,3851.270996075617,6100.2709960756165,2.6275277872744174,7.3624169138053475,10.119321558512707,0.0,10.119321558512707,2.249,3.851270996075617,6.100270996075617
2025-12-06 00:00:00,1.2002454,21.0,0.0,764.6999999999999,12039.42456276717,0.0,12039.42456276717,674.6999999999999,4617.312971825072,5292.012971825072,2.6074525673767313,7.418644923447314,12.03942456276717,0.0,12.03942456276717,0.6747,4.617312971825072,5.292012971825072
2025-12-06 01:00:00,1.1202455,21.0,0.0,764.6999999999999,12091.158975910295,0.0,12091.158975910295,674.6999999999999,4650.642095696677,5325.342095696677,2.5998902360382585,7.440177628518627,12.091158975910295,0.0,12.091158975910295,0.6747,4.650642095696677,5.325342095696676
2025-12-06 02:00:00,1.2202454,21.0,0.0,764.6999999999999,12026.490943314364,0.0,12026.490943314364,674.6999999999999,4608.996865343521,5283.696865343521,2.6093510789181233,7.413271457181886,12.026490943314364,0.0,12.026490943314364,0.6747,4.608996865343521,5.28369686534352
