location,Bâle,Bâle,Bâle,Bâle
lat,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653
variable,Temperature,Wind Speed,Wind Direction,Shortwave Radiation
unit,°C,km/h,°,W/m²
level,2 m elevation corrected,10 m,10 m,sfc
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Bâle Temperature [2 m elevation corrected],Bâle Wind Speed [10 m],Bâle Wind Direction [10 m],Bâle Shortwave Radiation
20250703T1700,26.520245,10.239453,10.124664,222.0
20250703T1800,25.750246,8.759178,9.462311,127.0
20250703T1900,24.650246,6.519877,6.340164,41.0
20250703T2000,23.600245,4.73506,8.74614,2.0
20250703T2100,22.540245,4.379589,9.462311,0.0
20250703T2200,21.050245,5.2416787,344.0546,0.0
20250703T2300,20.510244,4.73506,8.74614,0.0
20250704T0000,20.320246,5.315336,331.69925,0.0
20250704T0100,19.970245,6.489992,326.30994,0.0
20250704T0200,19.600245,5.495161,328.39252,0.0
20250704T0300,19.100245,5.6920996,341.56506,0.0
20250704T0400,18.660246,5.815978,338.1986,1.0
20250704T0500,18.520245,5.815978,338.1986,39.0
20250704T0600,19.540245,7.072878,345.25644,115.0
20250704T0700,20.940245,7.5685663,357.2737,326.0
20250704T0800,22.680244,7.928178,2.6025543,504.0
20250704T0900,24.290245,7.9526596,5.194412,698.0
20250704T1000,26.550245,7.42159,22.833649,803.0
20250704T1100,27.150246,7.0911775,23.962494,900.0
20250704T1200,28.010244,7.072878,14.743561,911.0
20250704T1300,29.320246,8.473393,12.2647705,878.0
20250704T1400,29.000246,8.557102,14.620865,808.0
20250704T1500,29.200245,9.605998,12.994629,693.0
20250704T1600,29.330246,10.041354,14.534454,545.0
20250704T1700,28.310246,10.239453,10.124664,392.0
20250704T1800,26.850245,10.08,360.0,219.0
20250704T1900,24.460245,8.350138,352.5686,81.0
20250704T2000,21.000246,7.92,360.0,5.0
20250704T2100,18.890245,7.208994,2.8624115,0.0
20250704T2200,17.270245,4.0249224,10.30484,0.0
20250704T2300,16.840246,3.8773184,338.1986,0.0
20250705T0000,17.270245,3.8268526,318.8141,0.0
20250705T0100,16.590246,2.7416782,293.1986,0.0
20250705T0200,16.290245,3.5455887,293.9625,0.0
20250705T0300,15.460245,1.9386592,291.8014,0.0
20250705T0400,15.030245,0.5091169,315.0,2.0
20250705T0500,16.060246,0.8049845,296.56506,66.0
20250705T0600,19.440245,1.1384199,251.56506,202.0
20250705T0700,22.790245,1.8,323.13013,378.0
20250705T0800,24.870245,2.7416782,336.8014,546.0
20250705T0900,27.370245,4.198285,329.03625,697.0
20250705T1000,28.670246,2.3051248,308.65982,806.0
20250705T1100,28.730246,4.379589,279.46234,873.0
20250705T1200,29.480246,5.04,270.0,921.0
20250705T1300,29.920246,6.519877,276.34018,893.0
20250705T1400,30.430244,8.557102,284.62088,831.0
20250705T1500,31.300245,9.504273,294.62357,718.0
20250705T1600,31.000246,10.00256,300.25644,575.0
20250705T1700,30.030245,10.587918,305.31122,405.0
20250705T1800,28.020245,8.942214,310.10092,227.0
20250705T1900,24.790245,6.696387,323.74615,75.0
20250705T2000,22.150246,7.9036193,329.93143,5.0
20250705T2100,20.210245,8.891343,328.24054,0.0
20250705T2200,19.300245,0.8049845,26.565033,0.0
20250705T2300,18.550245,1.8,53.130096,0.0
20250706T0000,18.220245,0.8049845,153.43495,0.0
20250706T0100,17.850245,0.35999998,180.0,0.0
20250706T0200,17.640245,1.484318,165.96376,0.0
20250706T0300,17.320246,2.1897945,170.53767,0.0
20250706T0400,16.340246,4.0249224,169.69516,2.0
20250706T0500,17.160246,3.0758414,159.44395,48.0
20250706T0600,19.090246,3.6,180.0,111.0
20250706T0700,21.040245,3.7064266,209.05461,280.0
20250706T0800,22.560246,4.379589,260.5377,375.0
20250706T0900,23.010244,6.12,270.0,463.0
20250706T1000,23.510244,7.5685663,267.27368,429.0
20250706T1100,23.440245,8.4963045,233.61565,263.0
20250706T1200,24.870245,13.104198,217.18471,281.0
20250706T1300,25.490246,19.373219,221.98721,460.0
20250706T1400,25.860245,21.068459,236.853,509.0
20250706T1500,24.850245,19.486609,244.85522,266.0
20250706T1600,22.040245,15.827721,252.80145,263.0
20250706T1700,19.290245,11.620809,253.81079,84.0
20250706T1800,18.200245,10.587917,252.18112,68.0
20250706T1900,17.050245,10.495713,247.83365,19.0
20250706T2000,16.500246,11.113451,245.09525,2.0
20250706T2100,16.340246,11.753877,242.65013,0.0
20250706T2200,16.420246,5.1165614,219.28941,0.0
20250706T2300,16.010246,7.9932966,215.83765,0.0
20250707T0000,15.680245,10.685391,212.61925,0.0
20250707T0100,15.770246,11.246759,219.80557,0.0
20250707T0200,15.800245,10.691453,225.0,0.0
20250707T0300,15.710245,10.182337,225.0,0.0
20250707T0400,15.850245,9.449572,220.36453,1.0
20250707T0500,16.200245,9.387651,212.47119,25.0
20250707T0600,16.600245,9.085988,213.69006,60.0
20250707T0700,17.030245,12.218805,225.0,115.0
20250707T0800,17.760244,12.55879,242.70044,71.0
20250707T0900,18.360245,17.377226,256.82745,96.0
20250707T1000,17.740246,12.55879,242.70044,170.0
20250707T1100,18.600245,14.512064,246.61478,398.0
20250707T1200,18.880245,12.397806,244.17902,615.0
20250707T1300,19.070246,13.722565,265.48602,559.0
20250707T1400,18.590246,14.830076,264.4278,433.0
20250707T1500,18.910246,13.084402,262.09283,342.0
20250707T1600,18.760244,12.287555,275.04245,252.0
20250707T1700,17.850245,7.9932976,262.23483,192.0
20250707T1800,17.410246,9.339208,242.44719,164.0
20250707T1900,16.490246,9.449572,252.25534,35.0
20250707T2000,15.820246,8.766573,250.82098,3.0
20250707T2100,15.600245,9.107359,251.56506,0.0
20250707T2200,15.300245,5.154415,245.22485,0.0
20250707T2300,14.770246,6.5693827,260.5377,0.0
20250708T0000,14.730246,8.669949,265.23636,0.0
20250708T0100,14.770246,9.007196,267.7094,0.0
20250708T0200,14.290245,10.823973,273.8141,0.0
20250708T0300,14.120245,11.726277,287.8787,0.0
20250708T0400,14.160245,9.693296,291.8014,0.0
20250708T0500,14.000245,9.565437,289.7989,23.0
20250708T0600,13.770246,10.365251,290.32315,75.0
20250708T0700,13.910245,9.9571085,282.5288,175.0
20250708T0800,14.710245,11.966954,285.70865,324.0
20250708T0900,16.180246,13.1041975,285.9454,451.0
20250708T1000,16.250246,8.825508,258.23172,509.0
20250708T1100,15.320246,8.373386,244.53665,724.0
20250708T1200,16.160246,7.5942082,238.57043,536.0
20250708T1300,15.050245,9.220499,218.65982,689.0
20250708T1400,15.390245,10.514218,218.04704,603.0
20250708T1500,16.630245,11.966954,226.21889,418.0
20250708T1600,17.030245,11.923557,241.11342,403.0
20250708T1700,17.150246,8.707237,240.25513,334.0
20250708T1800,16.440247,7.386582,223.02507,181.0
20250708T1900,15.130245,5.991594,212.73523,56.0
20250708T2000,14.050245,5.3999996,216.8699,3.0
20250708T2100,14.070246,5.3999996,216.8699,0.0
20250708T2200,12.890245,4.39436,214.99202,0.0
20250708T2300,12.520246,5.1165614,230.7106,0.0
20250709T0000,11.760245,5.692099,235.30484,0.0
20250709T0100,11.280245,5.0911684,225.0,0.0
20250709T0200,10.900246,5.3517847,222.27368,0.0
20250709T0300,10.630245,4.39436,214.99202,0.0
20250709T0400,10.260245,4.6938257,212.47119,1.0
20250709T0500,11.500245,3.319036,220.6013,53.0
20250709T0600,13.690246,2.8116899,230.19443,180.0
20250709T0700,16.220245,2.8799999,270.0,304.0
20250709T0800,17.710245,4.072935,315.0,454.0
20250709T0900,18.760244,5.3999996,323.13013,525.0
20250709T1000,19.210245,4.8965297,306.02737,551.0
20250709T1100,19.510244,4.39436,304.99203,544.0
20250709T1200,20.310246,4.39436,325.008,500.0
20250709T1300,21.050245,4.8433046,318.01282,480.0
20250709T1400,21.620245,5.1919937,326.30994,500.0
20250709T1500,21.670246,6.439876,333.43497,445.0
20250709T1600,21.790245,8.209263,344.74487,375.0
20250709T1700,21.470245,9.726665,357.8789,273.0
20250709T1800,20.390245,10.105681,4.085617,167.0
20250709T1900,18.410246,7.2805495,8.530762,62.0
20250709T2000,14.880245,6.489992,19.440033,4.0
20250709T2100,13.140245,7.5685663,25.34616,0.0
20250709T2200,13.480246,1.1384199,71.56504,0.0
20250709T2300,13.020246,4.452954,75.96376,0.0
20250710T0000,12.340245,4.73506,81.25384,0.0
20250710T0100,11.860246,4.73506,98.74616,0.0
20250710T0200,11.410245,4.39436,124.99202,0.0
20250710T0300,11.0602455,3.563818,135.0,0.0
20250710T0400,10.760245,1.2979984,123.69006,1.0
20250710T0500,11.420245,1.0182338,44.999985,57.0
20250710T0600,14.220245,1.9386592,21.801407,200.0
20250710T0700,17.460245,3.0758414,20.556046,327.0
20250710T0800,19.750246,4.6938257,32.47119,494.0
20250710T0900,22.070246,6.638072,40.601288,677.0
20250710T1000,22.960245,7.653705,48.81407,742.0
20250710T1100,24.030245,7.42159,39.09384,843.0
20250710T1200,25.490246,7.42159,22.833649,795.0
20250710T1300,25.230246,7.69592,10.7842865,730.0
20250710T1400,26.470245,8.28,360.0,766.0
20250710T1500,25.840246,9.0645685,353.15723,611.0
20250710T1600,25.530245,10.495713,354.09387,550.0
20250710T1700,24.840246,11.542478,356.42368,393.0
20250710T1800,23.630245,10.464798,356.0548,221.0
20250710T1900,21.110245,8.28,360.0,79.0
20250710T2000,17.390245,7.5942073,5.440323,4.0
20250710T2100,17.640245,6.379216,16.389526,0.0
20250710T2200,16.380245,2.4149535,153.43495,0.0
20250710T2300,15.400246,1.2979984,123.69006,0.0
20250711T0000,15.070246,1.8,89.99999,0.0
20250711T0100,14.480246,2.2768397,71.56504,0.0
20250711T0200,13.750245,2.968636,75.96376,0.0
20250711T0300,13.390245,2.52,89.99999,0.0
20250711T0400,13.320246,1.835647,101.30993,1.0
20250711T0500,13.610246,1.2979984,56.30993,58.0
20250711T0600,16.740246,1.8,36.86989,194.0
20250711T0700,19.750246,3.4152596,18.434952,345.0
20250711T0800,22.420246,4.2136917,19.983109,518.0
20250711T0900,23.830246,6.0347,17.35402,663.0
20250711T1000,25.610245,5.95906,25.016876,783.0
20250711T1100,26.050245,7.69592,10.7842865,826.0
20250711T1200,27.150246,9.007196,2.2906036,791.0
20250711T1300,27.320246,10.086427,2.045395,624.0
20250711T1400,26.930244,10.446206,1.9749298,480.0
20250711T1500,27.420246,11.165805,1.8475952,549.0
20250711T1600,26.700245,11.966953,6.9112244,431.0
20250711T1700,26.130245,11.874544,14.03624,290.0
20250711T1800,25.030245,10.587917,17.818878,194.0
20250711T1900,22.600245,6.489992,19.440033,71.0
20250711T2000,19.750246,7.5170207,16.69925,3.0
20250711T2100,17.910246,8.350138,7.431381,0.0
20250711T2200,16.710245,2.5455842,44.999985,0.0
20250711T2300,16.020247,6.6087217,29.357742,0.0
20250712T0000,15.360246,6.618519,44.999985,0.0
20250712T0100,15.0602455,5.991594,57.26477,0.0
20250712T0200,15.200245,4.6800003,67.380135,0.0
20250712T0300,14.540245,3.5455887,66.037506,0.0
20250712T0400,14.010245,3.096837,54.46232,1.0
20250712T0500,14.380245,3.7064266,29.05458,54.0
20250712T0600,17.060246,4.2136917,19.983109,174.0
20250712T0700,19.640245,3.8773184,21.801407,346.0
20250712T0800,22.180244,3.0758414,20.556046,520.0
20250712T0900,23.250246,3.319036,12.528809,672.0
20250712T1000,25.220245,2.6208394,15.945404,776.0
20250712T1100,25.670246,2.6208394,344.0546,793.0
20250712T1200,27.230246,3.8773184,338.1986,862.0
20250712T1300,27.980246,5.315336,331.69925,844.0
20250712T1400,28.390245,6.439876,333.43497,808.0
20250712T1500,28.760244,6.725354,344.4759,722.0
20250712T1600,28.500246,7.2,360.0,554.0
20250712T1700,27.640245,8.473393,12.2647705,385.0
20250712T1800,25.970245,8.707237,29.744873,216.0
20250712T1900,21.910246,5.904439,37.568573,76.0
20250712T2000,18.170246,7.42159,39.09384,3.0
20250712T2100,16.200245,7.928177,39.472458,0.0
20250712T2200,14.950245,6.4096174,38.157227,0.0
20250712T2300,14.0602455,4.452954,75.96376,0.0
20250713T0000,13.700245,3.0758414,159.44395,0.0
20250713T0100,13.050245,1.1384199,161.56505,0.0
20250713T0200,12.290245,2.3051248,141.34018,0.0
20250713T0300,12.720245,2.8116899,140.19443,0.0
20250713T0400,12.630245,3.219938,116.56505,1.0
20250713T0500,14.600245,3.4152596,108.434944,52.0
20250713T0600,18.220245,3.096837,125.537674,190.0
20250713T0700,21.570246,4.2136917,160.01689,326.0
20250713T0800,24.570246,6.130579,176.63354,479.0
20250713T0900,26.710245,7.754637,201.8014,670.0
20250713T1000,28.740246,8.557102,194.62088,616.0
20250713T1100,29.290245,10.233123,219.28941,632.0
20250713T1200,29.770245,10.948973,223.66779,765.0
20250713T1300,29.790245,10.703569,222.27368,778.0
20250713T1400,30.460245,9.931042,223.5312,567.0
20250713T1500,30.860245,10.514218,231.95296,540.0
20250713T1600,30.030245,11.304229,232.76517,460.0
20250713T1700,29.350245,10.966713,246.8014,302.0
20250713T1800,27.660246,5.6233797,230.19443,162.0
20250713T1900,25.020245,7.208994,182.86241,55.0
20250713T2000,22.810246,8.287822,177.51045,2.0
20250713T2100,21.420246,7.928178,182.60257,0.0
20250713T2200,21.030245,4.452954,194.03624,0.0
20250713T2300,20.640245,5.815978,201.8014,0.0
20250714T0000,20.100245,5.634891,206.56505,0.0
20250714T0100,20.450245,5.495161,211.6075,0.0
20250714T0200,20.200245,6.12,208.0725,0.0
20250714T0300,19.670246,8.217153,208.81079,0.0
20250714T0400,19.610245,8.4042845,189.86581,0.0
20250714T0500,20.510244,9.726665,182.1211,36.0
20250714T0600,20.660246,10.105681,175.91438,77.0
20250714T0700,20.370245,9.0645685,186.84277,30.0
20250714T0800,19.920246,10.685391,212.61925,123.0
20250714T0900,21.090246,14.277983,236.30994,334.0
20250714T1000,23.210245,7.386582,226.97495,584.0
20250714T1100,25.260244,8.4963045,216.38435,662.0
20250714T1200,26.450245,8.669949,228.36647,567.0
20250714T1300,28.070246,8.78872,235.00798,506.0
20250714T1400,29.080246,9.983106,244.359,577.0
20250714T1500,29.110245,10.137692,253.49564,534.0
20250714T1600,28.350245,9.3876505,274.3987,326.0
20250714T1700,27.300245,6.9899354,281.88867,246.0
20250714T1800,26.320246,4.452954,255.96376,143.0
20250714T1900,23.710245,5.0528407,184.08562,55.0
20250714T2000,21.740246,5.2416787,164.0546,2.0
20250714T2100,20.300245,5.4477882,172.40535,0.0
20250714T2200,19.270245,4.32,180.0,0.0
20250714T2300,18.930244,4.3349743,184.76364,0.0
20250715T0000,18.680244,4.802999,192.99461,0.0
20250715T0100,18.970245,4.829907,206.56505,0.0
20250715T0200,19.150246,4.8965297,216.02737,0.0
20250715T0300,18.920246,4.6938257,212.47119,0.0
20250715T0400,18.660246,5.3517847,199.65382,0.0
20250715T0500,19.080246,5.634891,206.56505,25.0
20250715T0600,20.430244,7.8954163,226.84761,126.0
20250715T0700,22.050245,8.699793,245.55606,231.0
20250715T0800,23.220245,10.08,270.0,205.0
20250715T0900,23.860245,10.495713,275.90616,343.0
20250715T1000,24.450245,8.891343,238.24052,433.0
20250715T1100,25.450245,13.5515,253.00919,603.0
20250715T1200,26.290245,15.683776,260.7539,723.0
20250715T1300,26.740246,16.595179,266.26862,667.0
20250715T1400,26.560246,16.575644,267.51044,583.0
20250715T1500,26.870245,16.199999,270.0,622.0
20250715T1600,26.330246,15.546833,275.31454,431.0
20250715T1700,25.530245,16.09969,280.30487,332.0
20250715T1800,24.450245,11.874544,284.03625,168.0
20250715T1900,23.220245,7.771331,283.39252,42.0
20250715T2000,21.730246,6.28713,293.6294,2.0
20250715T2100,20.470245,6.1305785,310.23636,0.0
20250715T2200,19.900246,5.506941,281.30994,0.0
20250715T2300,18.820246,3.7585104,286.69925,0.0
20250716T0000,17.970245,4.39436,235.00798,0.0
20250716T0100,17.100245,6.1305785,220.23636,0.0
20250716T0200,16.410246,5.4477882,187.59465,0.0
20250716T0300,16.400246,5.1544156,192.09476,0.0
20250716T0400,16.440247,5.95906,205.01689,0.0
20250716T0500,17.600245,7.8954163,223.15239,43.0
20250716T0600,19.080246,8.14587,225.0,129.0
20250716T0700,20.500246,9.793059,233.97263,141.0
20250716T0800,21.260244,11.119281,240.9454,142.0
20250716T0900,22.430244,12.904882,247.01129,254.0
20250716T1000,23.060246,14.007655,244.09349,488.0
20250716T1100,23.510244,16.394829,250.76932,690.0
20250716T1200,24.160246,17.057314,262.725,641.0
20250716T1300,23.630245,16.263872,264.9204,252.0
20250716T1400,23.230246,17.015474,263.92755,104.0
20250716T1500,23.100245,11.570515,264.64417,220.0
20250716T1600,22.410246,11.885453,268.26428,125.0
20250716T1700,21.970245,12.979984,273.17984,122.0
20250716T1800,21.270245,14.081478,274.3987,71.0
20250716T1900,20.610245,12.620554,273.2705,25.0
20250716T2000,19.740246,10.105681,265.91437,1.0
20250716T2100,19.140245,6.830519,251.56506,0.0
20250716T2200,18.260244,5.8048253,262.875,0.0
20250716T2300,17.190245,5.3517847,250.34618,0.0
20250717T0000,16.420246,5.95906,244.98311,0.0
20250717T0100,15.750245,4.2136917,250.0169,0.0
20250717T0200,15.210245,2.5455842,261.8699,0.0
20250717T0300,14.850245,2.5959969,303.69006,0.0
20250717T0400,14.050245,2.7416782,336.8014,0.0
20250717T0500,14.950245,2.5455842,351.8699,29.0
20250717T0600,16.270247,2.5455842,351.8699,127.0
20250717T0700,17.980246,2.6208394,344.0546,257.0
20250717T0800,19.780245,2.6208394,344.0546,421.0
20250717T0900,21.050245,3.7064266,330.94543,570.0
20250717T1000,21.890245,1.0182338,225.0,542.0
20250717T1100,22.690245,4.3349743,311.63354,472.0
20250717T1200,24.400246,5.904439,322.43143,548.0
20250717T1300,24.760244,5.8048253,330.25513,661.0
20250717T1400,25.760244,5.692099,325.30484,599.0
20250717T1500,26.320246,6.696387,323.74615,566.0
20250717T1600,26.050245,7.10031,329.53445,516.0
20250717T1700,25.710245,7.172949,342.47443,365.0
20250717T1800,24.860245,7.92,360.0,199.0
20250717T1900,21.270245,6.725354,15.524109,62.0
20250717T2000,18.830246,6.12,28.07248,2.0
20250717T2100,17.100245,6.792466,32.005356,0.0
20250717T2200,16.100246,1.484318,194.03624,0.0
20250717T2300,16.420246,2.9024127,172.87498,0.0
20250718T0000,15.990245,3.8773184,158.1986,0.0
20250718T0100,14.760245,4.3349743,131.63353,0.0
20250718T0200,13.510245,4.0249224,116.56505,0.0
20250718T0300,12.540245,4.829907,116.56505,0.0
20250718T0400,13.160245,2.3051248,141.34018,0.0
20250718T0500,14.440246,1.2979984,123.69006,46.0
20250718T0600,17.150246,0.8049845,116.56505,169.0
20250718T0700,20.270245,1.1384199,71.56504,275.0
20250718T0800,22.800245,2.3051248,51.34018,428.0
20250718T0900,24.240246,3.8939953,56.30993,576.0
20250718T1000,26.200245,4.5820518,44.999985,745.0
20250718T1100,27.440245,4.5820518,44.999985,854.0
20250718T1200,28.390245,4.1046314,37.87497,891.0
20250718T1300,28.400246,4.802999,12.994629,872.0
20250718T1400,28.660246,4.802999,12.994629,802.0
20250718T1500,29.570246,4.6800003,22.619858,689.0
20250718T1600,29.090246,5.4833565,23.198593,541.0
20250718T1700,28.570246,7.5685663,25.34616,378.0
20250718T1800,27.140245,8.557102,22.249008,212.0
20250718T1900,23.870245,6.638072,12.528809,66.0
20250718T2000,20.760244,7.172949,17.525558,2.0
20250718T2100,18.870245,7.42159,22.833649,0.0
20250718T2200,17.360245,8.557102,22.249008,0.0
20250718T2300,17.130245,6.1094027,44.999985,0.0
20250719T0000,15.980246,5.2416787,74.054596,0.0
20250719T0100,15.430245,4.452954,75.96376,0.0
20250719T0200,15.580245,3.2399998,89.99999,0.0
20250719T0300,15.380245,4.802999,77.00538,0.0
20250719T0400,16.060246,3.671294,101.30993,0.0
20250719T0500,17.340246,5.0142193,111.03751,42.0
20250719T0600,19.600245,4.452954,104.03624,143.0
20250719T0700,22.930244,5.6920996,108.434944,291.0
20250719T0800,25.970245,6.792466,122.00538,431.0
20250719T0900,28.370245,6.618519,135.0,547.0
20250719T1000,29.250246,7.289445,147.09476,654.0
20250719T1100,29.610245,13.281023,237.17145,636.0
20250719T1200,25.650246,19.386593,238.67131,650.0
20250719T1300,23.440245,13.830749,231.3402,450.0
20250719T1400,22.550245,9.659814,206.56505,399.0
20250719T1500,23.200245,7.9526596,185.19443,354.0
20250719T1600,24.280245,6.489992,176.82018,238.0
20250719T1700,24.350245,5.4477882,187.59465,144.0
20250719T1800,23.790245,3.6179552,174.28941,71.0
20250719T1900,22.280245,5.1165614,129.2894,46.0
20250719T2000,20.530245,5.00128,120.25643,2.0
20250719T2100,19.420246,4.3349743,131.63353,0.0
20250719T2200,18.950245,4.072935,135.0,0.0
20250719T2300,18.560246,6.12,180.0,0.0
20250720T0000,17.930244,4.379589,170.53767,0.0
20250720T0100,17.310246,1.4399999,180.0,0.0
20250720T0200,17.100245,1.0182338,135.0,0.0
20250720T0300,16.770245,2.0364676,135.0,0.0
20250720T0400,16.600245,3.0547013,135.0,0.0
20250720T0500,17.490246,5.1165614,140.71059,31.0
20250720T0600,19.300245,4.8965297,143.97263,138.0
20250720T0700,21.530245,4.8965297,143.97263,234.0
20250720T0800,23.320246,5.904439,142.4314,377.0
20250720T0900,25.710245,5.692099,145.30484,511.0
20250720T1000,27.260244,3.096837,125.537674,662.0
20250720T1100,28.290245,4.1046314,142.12502,722.0
20250720T1200,29.530245,6.6087217,150.64224,722.0
20250720T1300,29.630245,10.630672,151.69923,729.0
20250720T1400,30.510244,12.015589,171.38435,623.0
20250720T1500,29.720245,13.608762,232.52382,443.0
20250720T1600,25.220245,9.0645685,263.15723,262.0
20250720T1700,20.740246,6.28713,246.37064,162.0
20250720T1800,20.160246,3.8268526,221.18593,112.0
20250720T1900,19.650246,3.2599385,186.3402,10.0
20250720T2000,19.330246,4.73506,188.74615,1.0
20250720T2100,18.820246,5.0528407,175.91438,0.0
20250720T2200,18.800245,6.0347,162.64597,0.0
20250720T2300,18.400246,8.64,180.0,0.0
20250721T0000,18.080246,10.086427,177.95459,0.0
20250721T0100,17.800245,9.659814,153.43495,0.0
20250721T0200,17.530245,9.220499,141.34018,0.0
20250721T0300,17.510244,6.489992,160.55997,0.0
20250721T0400,17.250246,5.4477882,172.40535,0.0
20250721T0500,17.430244,7.5170207,163.30075,18.0
20250721T0600,17.850245,7.968939,161.56505,42.0
20250721T0700,18.160246,7.928178,177.39743,98.0
20250721T0800,18.850245,5.8048253,187.12502,164.0
20250721T0900,20.170246,4.6800003,202.61987,210.0
20250721T1000,22.010244,4.0249224,206.56505,324.0
20250721T1100,22.700245,5.8048253,187.12502,409.0
20250721T1200,22.770245,8.287822,177.51045,742.0
20250721T1300,21.860245,9.3669195,182.20259,656.0
20250721T1400,22.570246,9.449572,197.74467,532.0
20250721T1500,24.200245,11.480557,228.81409,541.0
20250721T1600,24.550245,9.220499,218.65982,343.0
20250721T1700,22.900246,7.628263,199.29004,211.0
20250721T1800,21.850245,9.178235,221.82018,112.0
20250721T1900,20.670246,12.413477,240.46121,35.0
20250721T2000,19.890245,11.090103,234.24612,1.0
20250721T2100,19.200245,12.229406,227.38594,0.0
20250721T2200,18.810246,6.0347,197.35403,0.0
20250721T2300,18.760244,8.217153,208.81079,0.0
20250722T0000,18.720245,9.793059,216.02737,0.0
20250722T0100,18.440245,10.086427,214.8245,0.0
20250722T0200,18.120245,10.685391,212.61925,0.0
20250722T0300,17.860245,11.592894,216.15819,0.0
20250722T0400,17.660246,12.387348,215.53769,0.0
20250722T0500,17.940245,13.246826,222.7974,21.0
20250722T0600,18.280245,14.05845,230.19443,63.0
20250722T0700,18.570246,13.276144,229.39871,76.0
20250722T0800,19.080246,15.683774,238.13402,236.0
20250722T0900,19.660246,16.516901,249.59012,344.0
20250722T1000,20.730246,16.1198,240.57254,451.0
20250722T1100,21.610245,17.25373,246.64444,657.0
20250722T1200,22.050245,17.076298,251.56506,452.0
20250722T1300,22.590246,16.946787,257.73523,526.0
20250722T1400,22.700245,17.294992,267.61407,495.0
20250722T1500,23.140245,16.203999,271.27304,472.0
20250722T1600,22.660246,15.496736,272.66302,296.0
20250722T1700,22.230246,13.397612,276.1702,272.0
20250722T1800,21.250246,9.779817,276.34018,177.0
20250722T1900,19.680244,4.73506,261.25385,50.0
20250722T2000,16.830246,5.1165614,230.7106,1.0
20250722T2100,15.830245,4.452954,194.03624,0.0
20250722T2200,15.250245,5.0528407,184.08562,0.0
20250722T2300,14.410245,5.0911684,171.8699,0.0
20250723T0000,13.270246,5.1544156,167.90524,0.0
20250723T0100,12.3102455,4.802999,167.00539,0.0
20250723T0200,11.650246,3.7585104,163.30075,0.0
20250723T0300,11.740245,3.0758414,159.44395,0.0
20250723T0400,11.700245,3.0758414,159.44395,0.0
20250723T0500,13.390245,3.0758414,159.44395,38.0
20250723T0600,15.750245,3.6179552,174.28941,160.0
20250723T0700,18.790245,4.1046314,195.25513,336.0
20250723T0800,21.650246,5.00128,210.25644,501.0
20250723T0900,22.800245,4.6938257,212.47119,642.0
20250723T1000,24.420246,7.754637,201.8014,756.0
20250723T1100,24.920246,6.638072,220.6013,747.0
20250723T1200,25.670246,5.4833565,246.8014,730.0
20250723T1300,26.300245,7.92,270.0,529.0
20250723T1400,25.390245,8.905908,284.03625,397.0
20250723T1500,25.110245,7.4128532,299.0546,370.0
20250723T1600,25.640245,6.3690495,312.7094,384.0
20250723T1700,24.230246,4.6102495,321.3402,253.0
20250723T1800,22.850245,3.6179552,354.28943,126.0
20250723T1900,20.850245,5.4119864,3.8140564,39.0
20250723T2000,19.340246,6.9247384,27.897263,0.0
20250723T2100,19.900246,5.904439,37.568573,0.0
20250723T2200,19.130245,5.5887027,255.06857,0.0
20250723T2300,17.770245,7.69592,259.2157,0.0
20250724T0000,17.010244,5.8048253,299.74487,0.0
20250724T0100,16.690245,2.7416782,336.8014,0.0
20250724T0200,16.520247,2.6208394,74.054596,0.0
20250724T0300,16.510246,1.1384199,161.56505,0.0
20250724T0400,16.460245,2.4149535,206.56505,0.0
20250724T0500,16.260246,2.5959969,236.30994,20.0
20250724T0600,16.670246,2.4149535,243.43495,107.0
20250724T0700,17.540245,2.4149535,243.43495,179.0
20250724T0800,18.500246,3.219938,243.43495,392.0
20250724T0900,19.330246,4.829907,243.43495,600.0
20250724T1000,21.750246,3.96,270.0,706.0
20250724T1100,22.050245,4.8433046,311.98724,759.0
20250724T1200,22.990246,3.0758414,339.44397,548.0
20250724T1300,22.880245,0.35999998,360.0,549.0
20250724T1400,22.990246,1.5273507,315.0,499.0
20250724T1500,23.040245,2.3051248,321.3402,450.0
20250724T1600,22.890245,3.319036,319.3987,334.0
20250724T1700,22.100245,6.12,331.92752,236.0
20250724T1800,21.270245,5.6920996,341.56506,124.0
20250724T1900,19.560246,2.5455842,81.869896,43.0
20250724T2000,18.300245,3.319036,139.3987,0.0
20250724T2100,17.460245,4.379589,279.46234,0.0
20250724T2200,17.930244,2.9024127,187.12502,0.0
20250724T2300,17.540245,3.2599385,186.3402,0.0
20250725T0000,17.290245,4.379589,189.46233,0.0
20250725T0100,16.890245,2.3051248,141.34018,0.0
20250725T0200,16.820246,2.4149535,153.43495,0.0
20250725T0300,16.320246,3.4152596,161.56505,0.0
20250725T0400,15.970245,2.5959969,146.30994,0.0
20250725T0500,15.400246,3.319036,167.47119,30.0
20250725T0600,16.620245,1.484318,165.96376,142.0
20250725T0700,17.690245,1.1384199,251.56506,235.0
20250725T0800,18.680244,1.484318,345.96375,323.0
20250725T0900,20.340246,2.4149535,333.43497,397.0
20250725T1000,20.590246,1.8,323.13013,349.0
