location,Bâle,Bâle,Bâle,Bâle
lat,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653
variable,Temperature,Wind Speed,Wind Direction,Shortwave Radiation
unit,°C,km/h,°,W/m²
level,2 m elevation corrected,10 m,10 m,sfc
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Bâle Temperature [2 m elevation corrected],Bâle Wind Speed [10 m],Bâle Wind Direction [10 m],Bâle Shortwave Radiation
20250117T1600,2.5902452,4.198285,59.036232,46.0
20250117T1700,1.8302454,6.193674,54.46232,0.0
20250117T1800,1.0502454,4.896529,72.89727,0.0
20250117T1900,0.4902454,4.3349743,85.23635,0.0
20250117T2000,-0.16975462,4.73506,81.25384,0.0
20250117T2100,-0.27975458,4.896529,72.89727,0.0
20250117T2200,-0.48975456,3.2599385,96.34019,0.0
20250117T2300,-0.6797546,5.0142193,111.03751,0.0
20250118T0000,-0.5997546,5.8603754,132.51044,0.0
20250118T0100,-0.6697546,3.219938,116.56505,0.0
20250118T0200,-0.85975456,3.5455887,113.96249,0.0
20250118T0300,-1.0997546,3.319036,102.52881,0.0
20250118T0400,-1.0597546,3.8773184,111.80141,0.0
20250118T0500,-0.8397546,4.0249224,116.56505,0.0
20250118T0600,-0.74975455,3.7064266,119.054596,0.0
20250118T0700,-0.9497546,3.8773184,111.80141,0.0
20250118T0800,-0.3697546,5.00128,120.25643,20.0
20250118T0900,0.2902454,4.8965297,126.027374,106.0
20250118T1000,1.0802454,4.8433046,138.01279,237.0
20250118T1100,2.0602455,6.1094027,135.0,319.0
20250118T1200,3.0202456,6.297428,120.963745,342.0
20250118T1300,3.8202453,4.452954,104.03624,335.0
20250118T1400,4.0502453,3.6179552,95.71059,270.0
20250118T1500,3.2102456,3.096837,125.537674,165.0
20250118T1600,3.3502455,5.1165614,140.71059,51.0
20250118T1700,1.8602453,3.563818,135.0,0.0
20250118T1800,-1.1097546,3.7064266,119.054596,0.0
20250118T1900,-2.1097546,3.7064266,119.054596,0.0
20250118T2000,-2.4297547,3.396233,122.00538,0.0
20250118T2100,-3.0197544,4.198285,120.96376,0.0
20250118T2200,-2.5197544,4.1046314,142.12502,0.0
20250118T2300,-2.8397546,6.297428,149.03624,0.0
20250119T0000,-2.9697547,4.1046314,127.874985,0.0
20250119T0100,-3.2097545,3.7064266,119.054596,0.0
20250119T0200,-3.1497545,5.0911684,135.0,0.0
20250119T0300,-3.2197547,4.8433046,138.01279,0.0
20250119T0400,-3.3397546,4.3349743,138.36646,0.0
20250119T0500,-3.2497544,4.39436,145.00798,0.0
20250119T0600,-3.1997547,4.39436,145.00798,0.0
20250119T0700,-3.2297544,4.1046314,142.12502,0.0
20250119T0800,-2.7197547,4.8965297,143.97263,18.0
20250119T0900,-1.7397546,4.39436,145.00798,108.0
20250119T1000,-1.0897546,4.2136917,160.01689,219.0
20250119T1100,-0.2697546,6.28713,156.37062,296.0
20250119T1200,0.6602454,6.2145634,169.99202,342.0
20250119T1300,1.3402455,5.4119864,176.18593,322.0
20250119T1400,1.9802454,4.68,180.0,260.0
20250119T1500,2.3402452,4.73506,171.25385,164.0
20250119T1600,1.6102453,4.5536795,161.56505,52.0
20250119T1700,-0.009754598,4.2136917,160.01689,0.0
20250119T1800,-1.4197546,3.6179552,174.28941,0.0
20250119T1900,-0.9697546,3.7585104,163.30075,0.0
20250119T2000,-0.8397546,3.8773184,158.1986,0.0
20250119T2100,-0.89975464,3.8939953,146.30994,0.0
20250119T2200,-0.8497546,3.4152596,161.56505,0.0
20250119T2300,-0.61975455,5.3517847,160.34618,0.0
20250120T0000,-1.0097545,5.4833565,156.8014,0.0
20250120T0100,-1.5797547,3.6,143.1301,0.0
20250120T0200,-1.4097546,3.396233,147.99461,0.0
20250120T0300,-1.1697546,4.829907,153.43495,0.0
20250120T0400,-1.2697546,5.154415,155.22485,0.0
20250120T0500,-1.5597545,4.2136917,160.01689,0.0
20250120T0600,-1.8697547,3.8773184,158.1986,0.0
20250120T0700,-2.0697546,4.3498964,155.55605,0.0
20250120T0800,-1.5497545,4.3498964,155.55605,22.0
20250120T0900,-0.3897546,4.6800003,157.38013,125.0
20250120T1000,1.6902454,3.7064266,150.94539,234.0
20250120T1100,3.3002453,3.396233,147.99461,308.0
20250120T1200,4.670245,3.6,143.1301,331.0
20250120T1300,5.8702455,4.072935,135.0,322.0
20250120T1400,5.3302455,3.396233,122.00538,249.0
20250120T1500,4.9902453,3.4152596,108.434944,162.0
20250120T1600,3.0202456,4.0249224,100.30484,49.0
20250120T1700,0.9002454,4.6938252,94.398705,0.0
20250120T1800,-0.05975461,3.319036,102.52881,0.0
20250120T1900,-0.63975465,1.9386592,111.80141,0.0
20250120T2000,-1.0697546,1.8,126.869896,0.0
20250120T2100,-1.3897547,2.5455842,135.0,0.0
20250120T2200,-1.3797545,2.5959969,123.69006,0.0
20250120T2300,-1.1597546,3.7064266,150.94539,0.0
20250121T0000,-1.3097546,4.39436,145.00798,0.0
